Scenario,Replication_no,Area_ID,hydrology,Recreated_ID
S1_TPR,R1,1,Farmer_Practice_Irrigation,2
S1_TPR,R1,2,Full_Irrigation,1
S1_TPR,R3,3,Full_Irrigation,5
S1_TPR,R3,4,Farmer_Practice_Irrigation,6
S3_DSR_Mungbean,R3,5,Farmer_Practice_Irrigation,18
S3_DSR_Mungbean,R3,6,Full_Irrigation,17
S2_MTR,R3,7,Full_Irrigation,11
S2_MTR,R3,8,Farmer_Practice_Irrigation,12
S4_DSR_Maize,R3,9,Farmer_Practice_Irrigation,24
S4_DSR_Maize,R3,10,Full_Irrigation,23
S3_DSR_Mungbean,R2,11,Full_Irrigation,15
S3_DSR_Mungbean,R2,12,Farmer_Practice_Irrigation,16
S1_TPR,R2,13,Farmer_Practice_Irrigation,4
S1_TPR,R2,14,Full_Irrigation,3
S4_DSR_Maize,R2,15,Full_Irrigation,21
S4_DSR_Maize,R2,16,Farmer_Practice_Irrigation,22
S2_MTR,R2,17,Farmer_Practice_Irrigation,10
S2_MTR,R2,18,Full_Irrigation,9
S2_MTR,R1,19,Full_Irrigation,7
S2_MTR,R1,20,Farmer_Practice_Irrigation,8
S3_DSR_Mungbean,R1,21,Full_Irrigation,13
S3_DSR_Mungbean,R1,22,Farmer_Practice_Irrigation,14
S4_DSR_Maize,R1,23,Farmer_Practice_Irrigation,20
S4_DSR_Maize,R1,24,Full_Irrigation,19
